SECTION,SECTION NAME,PART,SUBSECTION,SUBSECTION NAME,DESCRIPTION
"=""033000""",PLACE CONCRETE,PART 1 - GENERAL,1.3-A,SUBMITTALS,A. Allow a minimum of two weeks for review of submittals.
"=""033000""",PLACE CONCRETE,PART 1 - GENERAL,1.3-B,SUBMITTALS,"B. Shop Drawings: Submit for structural concrete and concrete slabs showing dimensioned locations, types of construction and expansion joints, and method of keying. Allow a minimum of two weeks for review of submittals."
"=""033000""",PLACE CONCRETE,PART 1 - GENERAL,1.3-C,SUBMITTALS,C. Mix Designs: Submit mix designs for review and approval by the Registered Design Professional and HCAI prior to fabrication and installation. Mix designs shall identify the concrete elements for which they are intended. Allow a minimum of two weeks for review of submittals. Also refer to Section 1.5.
"=""033000""",PLACE CONCRETE,PART 1 - GENERAL,1.3-D,SUBMITTALS,"D. Product Data: Proprietary admixtures, curing compounds, hardeners and sealers. B PAGE : 26 
1. Indicate compatibility of curing compounds and floor sealer with bond breaker for tilt-up concrete and finish materials to be applied to concrete. 
2. Indicate compatibility of curing compounds, hardeners and sealers with materials used for installation of applied flooring."
"=""033000""",PLACE CONCRETE,PART 1 - GENERAL,1.3-E,SUBMITTALS,"E. Product Data: Submit the coloring admix manufacturer's technical data for products, methods, and color control procedures."
"=""033000""",PLACE CONCRETE,PART 1 - GENERAL,1.3-F,SUBMITTALS,"F. Certificates: Certify that materials meet requirements of paragraph ""Quality Assurance""."
"=""033000""",PLACE CONCRETE,PART 1 - GENERAL,1.3-G,SUBMITTALS,"G. Delivery Tickets: With each transit truck, provide delivery ticket, signed by an authorized representative of the batch plant, containing all information required by ASTM C94, as well as time batched, type and brand of cement, cement content, maximum size of aggregate and total water content."
"=""033510""",CONCRETE FLATWORK FINISHING AND CURING,PART 1 - GENERAL,1.6-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Product Data: Submit manufacturer’s product data, specifications, and all other information necessary to show conformance to the Contract Documents, excluding material safety data sheets (MSDSs) and safety data sheets (SDSs), both of which are returned to the Contractor without review or responsive action. 
2. Test Reports: Submit manufacturer’s ASTM Test Method C 156 water retention laboratory test results demonstrating submitted products conform to ASTM C 309 Section 6 requirements water retention properties."
"=""033510""",CONCRETE FLATWORK FINISHING AND CURING,PART 1 - GENERAL,1.6-B,SUBMITTALS,"B. Informational Submittals: Submit the following for information (informal review: responsive action not expected or required, except to record non-conformance with submittal requirements). 
1. Manufacturer’s Instructions: Submit manufacturer-prepared published instructions for proper installation of furnished concrete sealers. a. If manufacturer’s instructions are unavailable or do not apply to specific project conditions, then consult the manufacturer’s representative and obtain project- specific supplemental instructions printed on manufacturer’s letterhead. b. Promptly distribute supplemental instructions to the Architect, who may have comments that lead to contract modifications or minor changes in the work. 
2. Qualification Statements: Submit written descriptions confirming experience specified in QUALITY ASSURANCE article below. 
3. Manufacturer’s Representative Reports: a. At the beginning of work, request and submit reports confirming concrete is prepared in conformance with manufacturer’s instructions and other requirements and recommendations; are acceptable and satisfactory to receive curing compounds; and conform to all requirements necessary to issue specified and other warranties. b. During the work, request and submit reports documenting actions taken by the manufacturer’s representative to verify conformance with manufacturer’s instructions and other requirements and recommendations. c. Upon completion, request and submit reports confirming installed waterproofing conforms to all requirements necessary to issue specified and other warranties. PAGE : 51"
"=""033713""",SHOTCRETE,PART 1 - GENERAL,1.3-A,SUBMITTALS,"A. Shop Drawings: Indicate formwork or shaped earthwork dimensions and contours, reinforcement and accessories."
"=""035416""",HYDRAULIC CEMENT UNDERLAYMENT,PART 1 - GENERAL,1.4-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Product Data: Submit manufacturer’s product data, specifications, and all other information necessary to show conformance to the Contract Documents, excluding material safety data sheets (MSDSs) and safety data sheets (SDSs),both of which are returned to the Contractor without review or responsive action."
"=""035416""",HYDRAULIC CEMENT UNDERLAYMENT,PART 1 - GENERAL,1.4-B,SUBMITTALS,"B. Informational Submittals: Submit the following for information (informal review: responsive action not expected or required, except to record non-conformance with submittal requirements). 
1. Manufacturer’s Instructions: Submit manufacturer-prepared published instructions for proper installation of furnished cement underlayment. a. If manufacturer’s instructions are unavailable or do not apply to specific project conditions, then consult the manufacturer’s representative and obtain project- specific supplemental instructions printed on manufacturer’s letterhead. b. Promptly distribute supplemental instructions to the Architect, who may have comments that lead to contract modifications or minor changes in the work. 
2. Qualification Statements: Submit written descriptions confirming experience specified in QUALITY ASSURANCE article below."
"=""044314""",ADHERED STONE VENEER,PART 1 - GENERAL,1.4-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Product Data: Submit manufacturer’s product data, specifications, typical installation details, and all other information necessary to show conformance to the Contract Documents, excluding material safety data sheets (MSDSs) and safety data sheets (SDSs), both of which are returned to the Contractor without review or responsive action. 
2. Shop Drawings: a. Submit dimensioned elevations drawn to scale and showing wall design patterns and layouts. b. Include project-specific dimensioned details drawn to scale showing conditions not detailed on the product data; or that are detailed, but not in a manner specific to the project. Cross-reference details to elevations. 
3. Samples: Submit at least 18-inch square representative samples of each stone veneer variety for each specified color and finish, glued to hardboard backing. Grout all joints with specified grout."
"=""044314""",ADHERED STONE VENEER,PART 1 - GENERAL,1.4-B,SUBMITTALS,"B. Informational Submittals: Submit the following for information (informal review: responsive action not expected or required, except to record non-conformance with submittal requirements). 
1. Manufacturer’s Instructions: Submit manufacturer-prepared published instructions for proper installation of furnished stone veneer, installation materials, and accessories. a. If manufacturer’s instructions are unavailable or do not apply to specific project conditions, then consult the manufacturer’s representative and obtain project- specific supplemental instructions printed on manufacturer’s letterhead. b. Promptly distribute supplemental instructions to the Architect, who may have comments that lead to contract modifications or minor changes in the work. 
2. Qualification Statements: Submit written descriptions confirming experience specified in QUALITY ASSURANCE article below."
"=""044314""",ADHERED STONE VENEER,PART 1 - GENERAL,1.4-C,SUBMITTALS,"C. Maintenance Material Submittals: Before Final Completion, deliver to the Owner stone veneer cleaning materials, equipment, accessories, and instructions; and extra stock materials to replace those worn or damaged as a result of normal occupancy. PAGE : 85 
1. Furnish at least 2 percent of the total installed for each stone veneer type, color, composition, grade, finish, and variety. 
2. Furnish at least 2 percent of the total amount installed for each grout type, color, and composition. but not less than one unopened container."
"=""050513""",APPLIED STEEL PRIMER,PART 1 - GENERAL,1.5-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Product Data: Submit manufacturer’s product data, specifications, and all other information necessary to show conformance to the Contract Documents, excluding material safety data sheets (MSDSs) and safety data sheets (SDSs), both of which are returned to the Contractor without review or responsive action. 
2. Primer Schedule: PAGE : 99 a. Prepare a list of specified primers and their project locations, with selected products identified by generic type and manufacturer’s product name for each coat of every finish. b. Identify substrates to which each specified primer is applied, including surface preparation methods for each substrate."
"=""050513""",APPLIED STEEL PRIMER,PART 1 - GENERAL,1.5-B,SUBMITTALS,"B. Informational Submittals: Submit the following for information (informal review: responsive action not expected or required, except to record non-conformance with submittal requirements). 
1. Manufacturer’s Instructions: Submit manufacturer-prepared published instructions for proper primer surface preparation and installation. a. If manufacturer’s instructions are unavailable or do not apply to specific project conditions, then consult the manufacturer’s representative and obtain project- specific supplemental instructions printed on manufacturer’s letterhead. b. Promptly distribute supplemental instructions to the Architect, who may have comments that lead to contract modifications or minor changes in the work. 
2. Qualification Statements: Submit written descriptions confirming experience specified in QUALITY ASSURANCE article below."
"=""050523""",METAL FASTENINGS,PART 1 - GENERAL,1.5-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Product Data: Submittal requirements for fastenings specific to a work result are specified within the applicable specification sections. 
2. Samples: When requested by the Architect, submit full-size samples of each selected metal fastener. PAGE : 110"
"=""051200""",STRUCTURAL STEEL FRAMING,PART 1 - GENERAL,1.3-A,SUBMITTALS,A. Allow a minimum of two weeks for review of submittals.
"=""051200""",STRUCTURAL STEEL FRAMING,PART 1 - GENERAL,1.3-B,SUBMITTALS,B. Comply with all pertinent provisions of Section 01 33 00.
"=""051200""",STRUCTURAL STEEL FRAMING,PART 1 - GENERAL,1.3-C,SUBMITTALS,"C. Product Data: Submit copies of producer's or manufacturer's data and installation instructions for the following products. Include laboratory test reports and other data required to show compliance with these specifications: 
1. Structural steel, including certified copies of mill test reports covering chemical and physical properties. 
2. Unfinished bolts and nuts. 
3. High strength bolts, including nuts and washers."
"=""051200""",STRUCTURAL STEEL FRAMING,PART 1 - GENERAL,1.3-D,SUBMITTALS,"D. Shop Drawings: Submit shop drawing covering all structural steel including welding, accessories, and fastenings. Fully detail minor connections and fastenings not shown or specified to meet required conditions. Include detailed sequence plan for shop and field welding that minimizes locked-in stresses and distortion."
"=""051200""",STRUCTURAL STEEL FRAMING,PART 1 - GENERAL,1.3-E,SUBMITTALS,E. Weld Specification Procedures (WPS): Submit all WPS in writing (both prequalified and qualify by test) in accordance with AWS D1.1. Welding shall not proceed until WPS have be reviewed and approved by the Architect/Engineer of Record. Refer to specification Section 05 12 10 for information regarding weld specification procedures.
"=""051200""",STRUCTURAL STEEL FRAMING,PART 1 - GENERAL,1.3-F,SUBMITTALS,F. Manufacturer’s mill Certificates: Submit mill certificates certifying that products meet or exceed specified requirements.
"=""051200""",STRUCTURAL STEEL FRAMING,PART 1 - GENERAL,1.3-G,SUBMITTALS,"G. Mill Test Reports: Submit Manufacturer’s Certificates, indicating structural yield and tensile strength and destructive and non-destructive test analysis."
"=""051200""",STRUCTURAL STEEL FRAMING,PART 1 - GENERAL,1.3-H,SUBMITTALS,H. Charpy-V-Notch (CVN) Impact Tests: Submit certified copies of Charpy-V-Notch impact tests by the manufacturer for applicable steel members and components.
"=""051200""",STRUCTURAL STEEL FRAMING,PART 1 - GENERAL,1.3-I,SUBMITTALS,"I. Test Reports: Submit reports of test conducted on shop and field welded and bolted connections, include data on type of tests conducted and test results."
"=""051210""",Not Found,PART 1 - GENERAL,1.3-A,SUBMITTALS,A. Comply with pertinent provisions of section 01 33 00.
"=""051210""",Not Found,PART 1 - GENERAL,1.3-B,SUBMITTALS,"B. Welding Procedure specification (WPS): 
1. All WPS's shall be submitted to the Engineer for review and approval prior to use. 
2. For WPS's that have been qualified by test, the supporting Procedure Qualification Record (PQR) shall be submitted to the Registered Design Professional and HCAI for review and approval prior to fabrication and installation. All WPS's and PQR's shall be in accordance with the forms shown in this section or AWS standard forms. 
3. Include product cut sheets for all filler material indicating desired diameter, polarity and amperage for each different type of filler material."
"=""051210""",Not Found,PART 1 - GENERAL,1.3-C,SUBMITTALS,"C. Submit current valid certificate issued by an independent testing agency for all welders, welding operators, and tack welders."
"=""051210""",Not Found,PART 1 - GENERAL,1.3-D,SUBMITTALS,D. Submit qualification credentials of all inspectors. B B PAGE : 135
"=""051210""",Not Found,PART 1 - GENERAL,1.3-E,SUBMITTALS,"E. Submit to the Engineer for approval, a step-by-step welding sequence for the field welding of beam-to- column CP-welded and beam-to-beam CP-welded splice connections."
"=""051210""",Not Found,PART 1 - GENERAL,1.3-F,SUBMITTALS,"F. Submit a quality control plan that addresses all inspection issues, including in-process and final inspection that are addressed in AWS D1.1."
"=""051213""",ARCHITECTURALLY EXPOSED STRUCTURAL STEEL,PART 1 - GENERAL,1.4-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Shop Drawings: a. Submit dimensioned plans and elevations drawn to scale and showing AESS layout and types. Show locations, sizes, and extents of all items, accessories, and trim. Label manufactured items by product name. b. Include project-specific dimensioned details drawn to scale showing profiles, shapes, joints, seams, and dimensions, including coves, miters, and corner conditions. Cross-reference details to plans and elevations. c. Indicate method of attaching, fastening, joining, adhering, and anchoring to adjacent construction. d. Show backings, embedments, fasteners, brackets, clips, cleats, straps, mounting devices, and other attachments. e. Label each attachment type; indicate manufacturer’s product name for each manufactured item. f. Indicate base material and finish, fastener material and finish, and material and finish of items being fastened or attached. g. Label welds in conformance with the requirements of AWS publication A2.4, “Standard Symbols for Welding, Brazing, and Nondestructive Examination”."
"=""051213""",ARCHITECTURALLY EXPOSED STRUCTURAL STEEL,PART 1 - GENERAL,1.4-B,SUBMITTALS,"B. Informational Submittals: Submit the written descriptions confirming experience specified in QUALITY ASSURANCE article below for information (informal review: responsive action not expected or required, except to record non-conformance with submittal requirements)."
"=""051700""",WELDED STUD CONNECTORS,PART 1 - GENERAL,1.3-A,SUBMITTALS,A. Comply with all pertinent provisions of Section 01 33 00.
"=""051700""",WELDED STUD CONNECTORS,PART 1 - GENERAL,1.3-B,SUBMITTALS,"B. Product Data: Submit following items for reviw; maintain copies of the following readily available at the site whenever welded stud connectors are being installed: 
1. Certified evidence stud bases are qualified in accordance with CBC. 
2. Stud manufacturer's installation instructions with a complete listing, by manufacturer and model, of stud welding equipment approved by stud manufacturer."
"=""051700""",WELDED STUD CONNECTORS,PART 1 - GENERAL,1.3-C,SUBMITTALS,C. Samples: Submit samples as may be requested.
"=""051700""",WELDED STUD CONNECTORS,PART 1 - GENERAL,1.3-D,SUBMITTALS,D. Weld Specification Procedures (WPS): Submit all WPS in writing (both prequalified and qualify by test) in accordance with AWS D1.1. Welding shall not proceed until the WPS have been reviewed and approved by the Registered Design Professional and HCAI. Refer to specification section 05 12 10 for information regarding weld specification procedures. B PAGE : 155
"=""053100""",METAL FLOOR AND ROOF DECKING,PART 1 - GENERAL,1.3-A,SUBMITTALS,A. Comply with all pertinent provisions of Section 01 33 00 – Submittal Procedures.
"=""053100""",METAL FLOOR AND ROOF DECKING,PART 1 - GENERAL,1.3-B,SUBMITTALS,"B. Shop Drawings: Prior to fabrication, submit drawings fully detailing and dimensioning all steel decking including accessories, fastenings, welding, holes with reinforcing, flashings, and closures. Indicate welding according to AWS Standard Welding Symbols. Show dimensioned layouts for openings and reinforcing details."
"=""053100""",METAL FLOOR AND ROOF DECKING,PART 1 - GENERAL,1.3-C,SUBMITTALS,"C. Calculations and Data: If steel decking of type differing from that indicated or specified is proposed, submit the manufacturer's calculations and supporting data showing that proposed decking conforms to requirements indicated and specified. Include the decking manufacturer's technical product data and copies of code approvals for proposed decking. Submit with shop drawings and obtain approval prior to fabrication and delivery of decking."
"=""053100""",METAL FLOOR AND ROOF DECKING,PART 1 - GENERAL,1.3-D,SUBMITTALS,D. Weld Specification Procedures (WPS): Submit all WPS in writing (both prequalified and qualify by test) in accordance with AWS D1.1. Welding shall not proceed until the WPS have been reviewed and approved by the Registered Design Professional and HCAI. Refer to specification section 05 12 10 for information regarding weld specification procedures.
"=""054000""",FORMED STRUCTURAL METAL FRAMING,PART 1 - GENERAL,1.3-A,SUBMITTALS,A. Product Data: Submit complete material list for all work of this section. Include ICC evaluation reports.
"=""054000""",FORMED STRUCTURAL METAL FRAMING,PART 1 - GENERAL,1.3-B,SUBMITTALS,B. Weld Specification Procedures (WPS): Submit all WPS in writing (both prequalified and B PAGE : 164 been reviewed and approved by the Registered Design Professional and HCAI. Refer to specification section 05 12 10 for information regarding weld specification procedures.
"=""055000""",METAL FABRICATIONS,PART 1 - GENERAL,1.4-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Product Data: a. For manufactured items, submit manufacturer’s product data, specifications, and all other information necessary to show conformance to the Contract Documents, excluding material safety data sheets (MSDSs) and safety data sheets (SDSs), both of which are returned to the Contractor without review or responsive action. 
2. Shop Drawings: a. Submit dimensioned plans and elevations drawn to scale and showing metal fabrication layout and types. Show locations, sizes, and extents of all items, accessories, and trim. Label manufactured items by product name. b. Include project-specific dimensioned details drawn to scale showing profiles, shapes, joints, seams, and dimensions, including coves, miters, and corner conditions. Cross-reference details to plans and elevations. c. Indicate method of attaching, fastening, joining, adhering, and anchoring to adjacent construction. d. Show backings, embedments, fasteners, brackets, clips, cleats, straps, mounting devices, and other attachments. e. Label each attachment type; indicate manufacturer’s product name for each manufactured item. f. Indicate base material and finish, fastener material and finish, and material and finish of items being fastened or attached. g. Label welds in conformance with the requirements of AWS publication A2.4, “Standard Symbols for Welding, Brazing, and Nondestructive Examination”."
"=""055000""",METAL FABRICATIONS,PART 1 - GENERAL,1.4-B,SUBMITTALS,"B. Informational Submittals: Submit the following for information (informal review: responsive action not expected or required, except to record non-conformance with submittal requirements). PAGE : 170 
1. Delegated Design Submittals: Together with shop drawings, submit engineering calculations demonstrating conformance to the Contract Documents and all impacts of delegated design scope of work on other work. a. Calculations must be explicit and legible and must incorporate distinct cross- references to submitted shop drawings in sufficient quantity to render the calculations readily intelligible and reviewable. b. At a minimum, calculations must include design loads; analysis of supporting construction, including section-property computations; analysis of fasteners, anchors, attachments, and connectors; and signature and seal of the licensed professional engineer responsible for preparing them. c. Test reports are not an acceptable substitute for calculations and are returned to the Contractor without review or responsive action, except to record non- conformance with this requirement. 
2. Qualification Statements: Submit written descriptions confirming experience specified in QUALITY ASSURANCE article below."
"=""057000""",DECORATIVE METAL,PART 1 - GENERAL,1.4-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Product Data: For manufactured items, submit manufacturer’s product data, specifications, and all other information necessary to show conformance to the Contract Documents, excluding material safety data sheets (MSDSs) and safety data sheets (SDSs), both of which are returned to the Contractor without review or responsive action. 
2. Shop Drawings: a. Submit dimensioned plans and elevations drawn to scale and showing decorative metal layout and types. Show locations, sizes, and extents of all items, accessories, and trim. Label manufactured items by product name. b. Include project-specific dimensioned details drawn to scale showing profiles, shapes, joints, seams, and dimensions, including coves, miters, and corner conditions. Cross-reference details to plans and elevations. c. Indicate method of attaching, fastening, joining, adhering, and anchoring to adjacent construction. d. Show backings, embedments, fasteners, brackets, clips, cleats, straps, mounting devices, and other attachments. e. Label each attachment type; indicate manufacturer’s product name for each manufactured item. f. Indicate base material and finish, fastener material and finish, and material and finish of items being fastened or attached. g. Label welds in conformance with the requirements of AWS publication A2.4, “Standard Symbols for Welding, Brazing, and Nondestructive Examination”."
"=""057000""",DECORATIVE METAL,PART 1 - GENERAL,1.4-B,SUBMITTALS,"B. Informational Submittals: Submit the following for information (informal review: responsive action not expected or required, except to record non-conformance with submittal requirements). 
1. Delegated Design Submittals: Together with shop drawings, submit engineering calculations demonstrating conformance to the Contract Documents and all impacts of delegated design scope of work on other work. a. Calculations must be explicit and legible and must incorporate distinct cross- references to submitted shop drawings in sufficient quantity to render the calculations readily intelligible and reviewable. b. At a minimum, calculations must include design loads; analysis of supporting construction, including section-property computations; analysis of fasteners, anchors, attachments, and connectors; and signature and seal of the licensed professional engineer responsible for preparing them. PAGE : 184 c. Test reports are not an acceptable substitute for calculations and are returned to the Contractor without review or responsive action, except to record non- conformance with this requirement. 
2. Qualification Statements: Submit written descriptions confirming experience specified in QUALITY ASSURANCE article below."
"=""060593""",WOODWORK FACINGS,PART 1 - GENERAL,1.4-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Product Data: Submit manufacturer’s product data, specifications, typical installation details, and all other information necessary to show conformance to the Contract Documents, excluding material safety data sheets (MSDSs) and safety data sheets (SDSs), both of which are returned to the Contractor without review or responsive action. 
2. Samples: Submit at least 8-inch square representative samples of each woodwork facing color, finish, and variety. PAGE : 195"
"=""060593""",WOODWORK FACINGS,PART 1 - GENERAL,1.4-B,SUBMITTALS,"B. Informational Submittals: Submit the following for information (informal review: responsive action not expected or required, except to record non-conformance with submittal requirements). 
1. Manufacturer’s Instructions: Submit manufacturer-prepared published instructions for proper installation of furnished woodwork facings. a. If manufacturer’s instructions are unavailable or do not apply to specific project conditions, then consult the manufacturer’s representative and obtain project- specific supplemental instructions printed on manufacturer’s letterhead. b. Promptly distribute supplemental instructions to the Architect, who may have comments that lead to contract modifications or minor changes in the work. 
2. Qualification Statements: Submit written descriptions confirming experience specified in QUALITY ASSURANCE article below."
"=""060593""",WOODWORK FACINGS,PART 1 - GENERAL,1.4-C,SUBMITTALS,"C. Maintenance Material Submittals: 
1. Before Final Completion, deliver to the Owner woodwork facing cleaning materials, equipment, accessories, and instructions; and extra stock materials to replace those worn or damaged as a result of normal occupancy. 
2. Furnish at least 2 percent of the total installed for each woodwork facing type, color, composition, grade, finish, and variety, but not less than one unopened box or container."
"=""061053""",– MISCELLANEOUS ROUGH CARPENTRY,PART 1 - GENERAL,1.4-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Product Data: For manufactured items, submit manufacturer’s product data, specifications, typical installation details, and all other information necessary to show conformance to the Contract Documents, excluding material safety data sheets (MSDSs) and safety data sheets (SDSs), both of which are returned to the Contractor without review or responsive action. 
2. Shop Drawings: Include project-specific dimensioned details drawn to scale showing rough carpentry attachment to supporting construction; and other conditions not detailed on the product data; or that are detailed, but not in a manner specific to the project. 
3. Samples: When requested by the Architect, submit full-size samples of selected metal fasteners."
"=""061053""",– MISCELLANEOUS ROUGH CARPENTRY,PART 1 - GENERAL,1.4-B,SUBMITTALS,"B. Informational Submittals: Submit the following for information (informal review: responsive action not expected or required, except to record non-conformance with submittal requirements). 
1. Manufacturer’s Instructions: Submit manufacturer-prepared published instructions for proper installation of furnished rough carpentry. a. If manufacturer’s instructions are unavailable or do not apply to specific project conditions, then consult the manufacturer’s representative and obtain project- specific supplemental instructions printed on manufacturer’s letterhead. b. Promptly distribute supplemental instructions to the Architect, who may have comments that lead to contract modifications or minor changes in the work."
"=""061643""",GMF GYPSUM SHEATHING,PART 1 - GENERAL,1.4-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Product Data: Submit manufacturer’s product data, specifications, typical installation details, and all other information necessary to show conformance to the Contract Documents, excluding material safety data sheets (MSDSs) and safety data sheets (SDSs), both of which are returned to the Contractor without review or responsive action. PAGE : 213 
2. Shop Drawings: Include project-specific dimensioned details drawn to scale showing conditions not detailed on the product data; or that are detailed, but not in a manner specific to the project."
"=""061643""",GMF GYPSUM SHEATHING,PART 1 - GENERAL,1.4-B,SUBMITTALS,"B. Informational Submittals: Submit the following for information (informal review: responsive action not expected or required, except to record non-conformance with submittal requirements). 
1. Manufacturer’s Instructions: Submit manufacturer-prepared published instructions for proper installation of furnished sheathing. a. If manufacturer’s instructions are unavailable or do not apply to specific project conditions, then consult the manufacturer’s representative and obtain project- specific supplemental instructions printed on manufacturer’s letterhead. b. Promptly distribute supplemental instructions to the Architect, who may have comments that lead to contract modifications or minor changes in the work. 
2. Qualification Statements: Submit written descriptions confirming experience specified in QUALITY ASSURANCE article below."
"=""064016""",INTERIOR ARCHITECTURAL WOODWORK,PART 1 - GENERAL,1.4-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Product Data: a. For manufactured items, submit manufacturer’s product data, specifications, and all other information necessary to show conformance to the Contract Documents, excluding material safety data sheets (MSDSs) and safety data sheets (SDSs), both of which are returned to the Contractor without review or responsive action. 
2. Shop Drawings: a. Include project-specific dimensioned details drawn to scale showing profiles, shapes, joints, seams, and dimensions, including coves, miters, and corner conditions specific to the project. b. Indicate method of attaching, fastening, joining, adhering, and anchoring to adjacent construction. 
3. Samples: a. Submit at least one 8-inch long or square representative fabrication sample for each woodwork type, color, finish, and variety, including core panel, facing, and edging."
"=""064016""",INTERIOR ARCHITECTURAL WOODWORK,PART 1 - GENERAL,1.4-B,SUBMITTALS,"B. Informational Submittals: Submit written descriptions confirming experience specified in QUALITY ASSURANCE article below for information (informal review: responsive action not expected or required, except to record non-conformance with submittal requirements)."
"=""064100""",ARCHITECTURAL WOOD CASEWORK,PART 1 - GENERAL,1.4-A,SUBMITTALS,"A. Action Submittals: Submit the following for responsive action (formal review and approval). 
1. Product Data: For manufactured items, submit manufacturer’s product data, specifications, and all other information necessary to show conformance to the Contract Documents, excluding material safety data sheets (MSDSs) and safety data sheets (SDSs), both of which are returned to the Contractor without review or responsive action. 
2. Shop Drawings: a. Submit dimensioned plans and elevations drawn to scale and showing casework layout and types. Show locations, sizes, and extents of all casework, accessories, and trim. Label manufactured items by product name. PAGE : 230 b. Include project-specific dimensioned details drawn to scale showing profiles, shapes, joints, seams, and dimensions, including coves, miters, and corner conditions specific to the project. Cross-reference details to plans and elevations. c. Indicate method of attaching, fastening, joining, adhering, and anchoring to adjacent construction. 
3. Samples: Submit at least one 8-inch square representative fabrication sample for each casework type, color, finish, and variety, including core panels, facings, and edgings."
"=""064100""",ARCHITECTURAL WOOD CASEWORK,PART 1 - GENERAL,1.4-B,SUBMITTALS,"B. Informational Submittals: Submit written descriptions confirming experience specified in QUALITY ASSURANCE article below for information (informal review: responsive action not expected or required, except to record non-conformance with submittal requirements)."
