Spec Number,Spec Name,Para,Sub Section Heading,Submittal Type,Submittal Description,Submittal Summary
24119,SELECTIVE DEMOLITION,1.6-D,INFORMATIONAL SUBMITTALS,Statement Of Refrigerant Recovery,"Statement of Refrigerant Recovery : Signed by refrigerant recovery technician responsible for 
recovering refrigerant, stating that all refrigerant that was present was recovered and that
recovery was performed according to EPA regulations. Include name and address of
technician and date refrigerant was recovered.", Statement Ref
24119,SELECTIVE DEMOLITION,1.6-E,INFORMATIONAL SUBMITTALS,Warranty,"Warranties : Documentation indicating that existing warranties are still in effect after 
completion of selective demolition.", Warranties
24119,SELECTIVE DEMOLITION,1.7-A,CLOSEOUT SUBMITTALS,Inventory,Inventory : Submita list of items that have been removed and salvaged., Inventory Submit
30100,ADVANCED COMPOSITE MATERIALS,1.5-A.1-1,SUBMITTALS,Product Data,"1. Submit product data indicating product standards, physical and chemical characteris-- 
tics, technical specifications, limitations, installation instructions, maintenance in- 
structions and general recommendations regarding each individual material.", Submit product
30100,ADVANCED COMPOSITE MATERIALS,1.5-A.2-2,SUBMITTALS,General,"2. Only epoxy resins will be accepted for construction of FRP systems referenced in this- 
specification. Other resins, such as polyesters/vinyl esters, are not allowed as substi- 
tutes. The manufacturer shall clearly define the epoxy resin working time. Any batch 
that exceeds the batch life shall not be used.", only epoxy resin
30100,ADVANCED COMPOSITE MATERIALS,1.5-A.4-4,SUBMITTALS,General,"4. Written consent from the FRP manufacturer that the surface bonded FRP composite- 
systems are installed by trained certified applicators as per Section 2.2", Written consent F
30100,ADVANCED COMPOSITE MATERIALS,1.5-A.7-7,SUBMITTALS,Performance Data,"7. Large-scale test results validating the fiber anchor performance on relevant test spec-- 
imens. Compatibility between composite anchors and the composite system must be 
verified through large-scale testing for similar applications.", largescale test
30100,ADVANCED COMPOSITE MATERIALS,1.5-A.8-8,SUBMITTALS,General,"8. At the termination of the project, the contractor shall providea field quality control- 
report showing compliance with all aspects of the manufacturers certification re- 
quirements. This report shall be stamped bya civil engineer registered in the state 
where the work is performed.", at termination project
30100,ADVANCED COMPOSITE MATERIALS,1.5-B-1,SUBMITTALS,Drawings,1. Design and working drawings shall be based on performance as per Section 1.6., Design working drawings
30100,ADVANCED COMPOSITE MATERIALS,1.5-B-2,SUBMITTALS,Drawings,"2. Stamped and signed structural calculations and drawings bya professional Civil En- 
gineer. Design shall be based on the clearly written performance criteria defined on 
the structural drawings.", Civil En 
30100,ADVANCED COMPOSITE MATERIALS,1.5-B-3,SUBMITTALS,Drawings,"3. Working shop drawings and calculations prepared and sealed bya professional engi- 
neer detailing the type, locations, dimensions, numbers of layers, and orientation of 
all FRP materials and coatings to be installed. The shop drawings must also indicatea 
total weight per unit length of each size of anchor (if required) to be used in the pro- 
ject.", shop drawings indicate
30100,ADVANCED COMPOSITE MATERIALS,1.5-C.1-1,SUBMITTALS,General,"1. Manufacturer shall havea minimum of ten (10) years experience confirmed by pro-- 
ject references.", Manufacturer shall have
30100,ADVANCED COMPOSITE MATERIALS,1.5-C.2-2,SUBMITTALS,Reports,"2. Providea current ICC Evaluation Service Report, as per Section 1.5.3-", ICC Evaluation
30100,ADVANCED COMPOSITE MATERIALS,1.5-C.3-3,SUBMITTALS,General,"3. If fire protection is required, provide approved UL rated assembly data for any re-- 
quired fire-resistant finish (1, 2, 3 or 4 hour rated assembly per ASTM E119 or Class 
A Building, Flame Spread & Smoke Development per ASTM E84) as proposed with 
the FRP system.", ASTM E
30100,ADVANCED COMPOSITE MATERIALS,1.5-C.4-4,SUBMITTALS,General,"4. Properties of the composite materials as determined by independent laboratory test-- 
ing in accordance with ASTM D7565 and/or ASTM D3039 (tensile modulus, stress 
and strain) for the proposed fiber composite system. A minimum of 20 tests for each 
must be submitted.", Properties composite materials
30100,ADVANCED COMPOSITE MATERIALS,1.5-C.5-5,SUBMITTALS,Maintenance Data,"5. Installation procedures, maintenance instructions, and general recommendations re-- 
garding each material to be used.", Installation procedures maintenance
30100,ADVANCED COMPOSITE MATERIALS,1.5-C.6-6,SUBMITTALS,General,6. Manufacturers Material Safety Data Sheets (MSDS) for all materials to be used.-, Manufacturers Material
30100,ADVANCED COMPOSITE MATERIALS,1.5-C.7-7,SUBMITTALS,Product Data,"7. Manufacturers product data sheet indicating physical, mechanical and chemical- 
characteristics of all materials used in the FRP system.", FRP system
30100,ADVANCED COMPOSITE MATERIALS,1.5-C.8-8,SUBMITTALS,Certifications,"8. Certification by the manufacturer that supplied products complies with local regula-- 
tions controlling use of volatile organic compounds (VOCs).", Certification manufacturer supplied
30100,ADVANCED COMPOSITE MATERIALS,1.6-A,PERFORMANCE,Delegated-Design Submittal,"Design the composite system to achieve the structural performance shown on the structural
drawings. Design calculations for the composite system shall be submitted for approval by
the engineer of record and shall be stamped bya registered Civil or Structural Engineer.
The composite anchors must meet the minimum total weight per unit length for each size of
anchor as per submitted design.", design composite achieve
32000,CONCRETE REINFORCING,1.3-A-1,ACTION SUBMITTALS,Product Data,1. Each type of steel reinforcement., Each type of
32000,CONCRETE REINFORCING,1.3-A-2,ACTION SUBMITTALS,Product Data,2. Bar supports., Bar: Bar
32000,CONCRETE REINFORCING,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include placing drawings that detail fabrication, bending, and placement.", Include placing drawings
32000,CONCRETE REINFORCING,1.3-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Include bar sizes, lengths, materials, grades, bar schedules, stirrup spacing, bent bar 
diagrams, bar arrangement, location of splices, lengths of lap splices, details of 
mechanical splice couplers, details of welding splices, tie spacing, hoop spacing, and 
supports for concrete reinforcement.", include bar sizes
32000,CONCRETE REINFORCING,1.3-B-3,ACTION SUBMITTALS,Shop Drawings,"3. For structural thermal break insulated connection system, indicate general configuration, 
insulation dimensions, tension bars, compression pads, shear bars, and dimensions.", For structural thermal
32000,CONCRETE REINFORCING,1.3-C-1,ACTION SUBMITTALS,Construction Joint Layout,1. Location of construction joints is subject to approval of the Architect., Location Construction joints
32000,CONCRETE REINFORCING,1.4-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Statements : For testing and inspection agency., Qualification Statements
32000,CONCRETE REINFORCING,1.4-B-1,INFORMATIONAL SUBMITTALS,Certificates,"1. Epoxy-Coated Reinforcement: CRSI's ""Epoxy Coating Plant Certification."" 
", EpoxyCo
32000,CONCRETE REINFORCING,1.4-B-2,INFORMATIONAL SUBMITTALS,Certificates,"2. Dual-Coated Reinforcement: CRSI's ""Epoxy Coating Plant Certification.""", DualCoated
33000,CAST-IN-PLACE CONCRETE,1.4-A-1,PREINSTALLATION MEETINGS,Meetings,"1. Require representatives of each entity directly concerned with cast-in-place concrete to 
attend, including the following: 
a. Contractor's superintendent. 
b. Concrete Subcontractor.", Require
33000,CAST-IN-PLACE CONCRETE,1.4-A-2,PREINSTALLATION MEETINGS,Meetings,"2. Review the following: 
a. Special inspection and testing and inspecting agency procedures for field quality 
control. 
b. Construction joints, control joints, isolation joints, and joint-filler strips. 
c. Semirigid joint fillers. 
 
d. Vapor-retarder installation. 
e. Anchor rod and anchorage device installation tolerances. 
f. Cold and hot weather concreting procedures. 
g. Concrete finishes and finishing. 
h. Curing procedures. 
i. Forms and form-removal limitations. 
j. Shoring and reshoring procedures. 
k. Methods for achieving specified floor and slab flatness and levelness. 
l. Floor and slab flatness and levelness measurements. 
m. Concrete repair procedures. 
n. Concrete protection. 
o. Initial curing and field curing of field test cylinders (ASTM C31/C31M.) 
p. Protection of field cured field test cylinders.", Special inspection testing
33000,CAST-IN-PLACE CONCRETE,1.5-A-1,ACTION SUBMITTALS,Product Data,1. Portland cement., Portland cement is
33000,CAST-IN-PLACE CONCRETE,1.5-A-2,ACTION SUBMITTALS,Product Data,2. Fly ash., Fly ash
33000,CAST-IN-PLACE CONCRETE,1.5-A-3,ACTION SUBMITTALS,Product Data,3. Slag cement., Slag cement
33000,CAST-IN-PLACE CONCRETE,1.5-A-4,ACTION SUBMITTALS,Product Data,4. Blended hydraulic cement., Blended
33000,CAST-IN-PLACE CONCRETE,1.5-A-5,ACTION SUBMITTALS,Product Data,5. Silica fume., Silica fum
33000,CAST-IN-PLACE CONCRETE,1.5-A-6,ACTION SUBMITTALS,Product Data,6. Performance-based hydraulic cement, Performancebased hydraulic
33000,CAST-IN-PLACE CONCRETE,1.5-A-7,ACTION SUBMITTALS,Product Data,7. Aggregates., Aggregates
33000,CAST-IN-PLACE CONCRETE,1.5-A-8,ACTION SUBMITTALS,Product Data,"8. Admixtures: 
a. Include limitations of use, including restrictions on cementitious materials, 
supplementary cementitious materials, air entrainment, aggregates, temperature at 
time of concrete placement, relative humidity at time of concrete placement, curing 
conditions, and use of other admixtures.", Admixtures
33000,CAST-IN-PLACE CONCRETE,1.5-A-9,ACTION SUBMITTALS,Product Data,9. Vapor retarders., Vapor
33000,CAST-IN-PLACE CONCRETE,1.5-A-1,ACTION SUBMITTALS,Product Data,10. Curing materials., Curing materials
33000,CAST-IN-PLACE CONCRETE,1.5-A-1,ACTION SUBMITTALS,Product Data,11. Joint fillers., Joint fillers
33000,CAST-IN-PLACE CONCRETE,1.5-A-1,ACTION SUBMITTALS,Product Data,12. Repair materials., Repair materials used
33000,CAST-IN-PLACE CONCRETE,1.5-B-1,ACTION SUBMITTALS,Mix Design,1. Mixture identification., Mixture identification
33000,CAST-IN-PLACE CONCRETE,1.5-B-2,ACTION SUBMITTALS,Mix Design,2. Minimum 28-day compressive strength., Minimum day compress
33000,CAST-IN-PLACE CONCRETE,1.5-B-3,ACTION SUBMITTALS,Mix Design,3. Durability exposure class., Durability exposure
33000,CAST-IN-PLACE CONCRETE,1.5-B-4,ACTION SUBMITTALS,Mix Design,4. Maximum w/cm., wc
33000,CAST-IN-PLACE CONCRETE,1.5-B-5,ACTION SUBMITTALS,Mix Design,"5. Calculated equilibrium unit weight, for lightweight concrete.", Calculated equilibrium
33000,CAST-IN-PLACE CONCRETE,1.5-B-6,ACTION SUBMITTALS,Mix Design,6. Slump limit., Slump
33000,CAST-IN-PLACE CONCRETE,1.5-B-7,ACTION SUBMITTALS,Mix Design,7. Air content., Air content:
33000,CAST-IN-PLACE CONCRETE,1.5-B-8,ACTION SUBMITTALS,Mix Design,8. Nominal maximum aggregate size., Nominal
33000,CAST-IN-PLACE CONCRETE,1.5-B-9,ACTION SUBMITTALS,Mix Design,9. Intended placement method., Intended placement
33000,CAST-IN-PLACE CONCRETE,1.5-B-1,ACTION SUBMITTALS,Mix Design,"10. Submit alternate design mixtures when characteristics of materials, Project conditions, 
weather, test results, or other circumstances warrant adjustments.", Submit alternate
33000,CAST-IN-PLACE CONCRETE,1.5-C-1,ACTION SUBMITTALS,Shop Drawings,"1. Construction Joint Layout: Indicate proposed construction joints required to construct the 
structure. 
a. Location of construction joints is subject to approval of the Architect.", Construction Joint Lay
33000,CAST-IN-PLACE CONCRETE,1.6-A-1,INFORMATIONAL SUBMITTALS,Qualification Data,1. Installer: Include copies of applicable ACI certificates., Installer Include
33000,CAST-IN-PLACE CONCRETE,1.6-A-2,INFORMATIONAL SUBMITTALS,Qualification Data,2. Ready-mixed concrete manufacturer., Readymixe
33000,CAST-IN-PLACE CONCRETE,1.6-A-3,INFORMATIONAL SUBMITTALS,Qualification Data,3. Testing agency: Include copies of applicable ACI certificates., Testing agency Include
33000,CAST-IN-PLACE CONCRETE,1.6-B-1,INFORMATIONAL SUBMITTALS,Certificates,1. Cementitious materials., Cementit
33000,CAST-IN-PLACE CONCRETE,1.6-B-2,INFORMATIONAL SUBMITTALS,Certificates,2. Admixtures., Admixtures
33000,CAST-IN-PLACE CONCRETE,1.6-B-3,INFORMATIONAL SUBMITTALS,Certificates,3. Curing compounds., Curing compounds
33000,CAST-IN-PLACE CONCRETE,1.6-B-4,INFORMATIONAL SUBMITTALS,Certificates,4. Bonding agents., Bonding agents
33000,CAST-IN-PLACE CONCRETE,1.6-B-5,INFORMATIONAL SUBMITTALS,Certificates,5. Adhesives., Adhes
33000,CAST-IN-PLACE CONCRETE,1.6-B-6,INFORMATIONAL SUBMITTALS,Certificates,6. Vapor retarders., Vapor
33000,CAST-IN-PLACE CONCRETE,1.6-B-7,INFORMATIONAL SUBMITTALS,Certificates,7. Semirigid joint filler., Semirigi
33000,CAST-IN-PLACE CONCRETE,1.6-B-8,INFORMATIONAL SUBMITTALS,Certificates,8. Joint-filler strips., Jointfiller
33000,CAST-IN-PLACE CONCRETE,1.6-B-9,INFORMATIONAL SUBMITTALS,Certificates,9. Repair materials., Repair materials used
33000,CAST-IN-PLACE CONCRETE,1.6-C-1,INFORMATIONAL SUBMITTALS,Test Reports,1. Portland cement., Portland cement is
33000,CAST-IN-PLACE CONCRETE,1.6-C-2,INFORMATIONAL SUBMITTALS,Test Reports,2. Fly ash., Fly ash
33000,CAST-IN-PLACE CONCRETE,1.6-C-3,INFORMATIONAL SUBMITTALS,Test Reports,3. Slag cement., Slag cement
33000,CAST-IN-PLACE CONCRETE,1.6-C-4,INFORMATIONAL SUBMITTALS,Test Reports,4. Blended hydraulic cement., Blended
33000,CAST-IN-PLACE CONCRETE,1.6-C-5,INFORMATIONAL SUBMITTALS,Test Reports,5. Silica fume., Silica fum
33000,CAST-IN-PLACE CONCRETE,1.6-C-6,INFORMATIONAL SUBMITTALS,Test Reports,6. Performance-based hydraulic cement., Performancebased hydraulic
33000,CAST-IN-PLACE CONCRETE,1.6-C-7,INFORMATIONAL SUBMITTALS,Test Reports,7. Aggregates., Aggregates
33000,CAST-IN-PLACE CONCRETE,1.6-C-8,INFORMATIONAL SUBMITTALS,Test Reports,"8. Admixtures: 
a. Permeability-Reducing Admixture: Include independent test reports, indicating 
compliance with specified requirements, including dosage rate used in test.", Admixtures
33000,CAST-IN-PLACE CONCRETE,1.6-D,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports., Field qualitycontrol
33000,CAST-IN-PLACE CONCRETE,1.6-E,INFORMATIONAL SUBMITTALS,Meeting Minutes,Minutes of preinstallation conference., Minutes pre
33543,POLISHED CONCRETE FINISHING,1.4-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product., Product Data For
33543,POLISHED CONCRETE FINISHING,1.4-B,ACTION SUBMITTALS,Schedules,"Polishing Schedule : Submit plan showing polished concrete surfaces and schedule of polishing 
operations for each area of polished concrete before start of polishing operations. Include
locations of all joints, including construction joints.", Polishing Schedule
33543,POLISHED CONCRETE FINISHING,1.4-C,ACTION SUBMITTALS,Samples,Samples for Initial Selection : For each type of product requiring color selection., Samples Initial
33543,POLISHED CONCRETE FINISHING,1.5-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer., Qualification Data For
33543,POLISHED CONCRETE FINISHING,1.5-B-1,INFORMATIONAL SUBMITTALS,Certificates,1. Repair materials., Repair materials used
33543,POLISHED CONCRETE FINISHING,1.5-B-2,INFORMATIONAL SUBMITTALS,Certificates,2. Stain materials., Stain
33543,POLISHED CONCRETE FINISHING,1.5-B-3,INFORMATIONAL SUBMITTALS,Certificates,3. Liquid floor treatments., Liquid
33543,POLISHED CONCRETE FINISHING,1.6-A-1,QUALITY ASSURANCE,Mockups,"1. Build mockups in the location and of the size indicated or, if not indicated, as directed by 
Architect.", Build mockup
33543,POLISHED CONCRETE FINISHING,1.6-A-2,QUALITY ASSURANCE,Mockups,"2. Demonstrate curing, finishing, and protecting of polished concrete.", Demons
33543,POLISHED CONCRETE FINISHING,1.6-A-3,QUALITY ASSURANCE,Mockups,"3. Subject to compliance with requirements, approved mockups may become part of the 
completed Work if undisturbed at time of Substantial Completion.", Subject compliance requirements
42200,CONCRETE UNIT MASONRY,1.4-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site., Preinstallation Conference
42200,CONCRETE UNIT MASONRY,1.5-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product., Product Data For
42200,CONCRETE UNIT MASONRY,1.5-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Masonry Units: Show sizes, profiles, coursing, and locations of special shapes.", Masonry Unit
42200,CONCRETE UNIT MASONRY,1.5-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Reinforcing Steel: Detail bending, lap lengths, and placement of unit masonry reinforcing 
bars. Comply with ACI 315. Show elevations of reinforced walls.", Reinforc
42200,CONCRETE UNIT MASONRY,1.5-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Fabricated Flashing: Detail corner units, end-dam units, and other special applications.", Flashing Detail
42200,CONCRETE UNIT MASONRY,1.6-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For testing agency., Qualification Data For
42200,CONCRETE UNIT MASONRY,1.6-B-1,INFORMATIONAL SUBMITTALS,Certificates,"1. Masonry units. 
a. Include data on material properties. 
b. For masonry units, include data and calculations establishing average net-area 
compressive strength of units.", masonry units
42200,CONCRETE UNIT MASONRY,1.6-B-2,INFORMATIONAL SUBMITTALS,Certificates,2. Integral water repellant used in CMUs., CMUs
42200,CONCRETE UNIT MASONRY,1.6-B-3,INFORMATIONAL SUBMITTALS,Certificates,"3. Preblended, dry mortar mixes. Include description of type and proportions of ingredients.", Prebl
42200,CONCRETE UNIT MASONRY,1.6-B-4,INFORMATIONAL SUBMITTALS,Certificates,4. Grout mixes. Include description of type and proportions of ingredients., Grout mixes
42200,CONCRETE UNIT MASONRY,1.6-B-5,INFORMATIONAL SUBMITTALS,Certificates,5. Reinforcing bars., Reinforc
42200,CONCRETE UNIT MASONRY,1.6-B-6,INFORMATIONAL SUBMITTALS,Certificates,6. Joint reinforcement., Joint reinforcements
42200,CONCRETE UNIT MASONRY,1.6-B-7,INFORMATIONAL SUBMITTALS,Certificates,"7. Anchors, ties, and metal accessories.", Anchors 
42200,CONCRETE UNIT MASONRY,1.6-C-1,INFORMATIONAL SUBMITTALS,Mix Design,"1. Include test reports for mortar mixes required to comply with property specification. Test 
according to ASTM C109/C109M for compressive strength, ASTM C1506 for water 
retention, and ASTM C91/C91M for air content.", Include test reports
42200,CONCRETE UNIT MASONRY,1.6-C-2,INFORMATIONAL SUBMITTALS,Mix Design,"2. Include test reports, according to ASTM C1019, for grout mixes required to comply with 
compressive strength requirement.", Include test reports
42200,CONCRETE UNIT MASONRY,1.6-E,INFORMATIONAL SUBMITTALS,Cold-Weather And Hot-Weather Procedures,"Cold-Weather and Hot-Weather Procedures : Detailed description of methods, materials, and 
equipment to be used to comply with requirements.", ColdWeat
51200,STRUCTURAL STEEL FRAMING,1.5-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site., Preinstallation Conference
51200,STRUCTURAL STEEL FRAMING,1.6-A-1,ACTION SUBMITTALS,Product Data,1. Structural-steel materials., Struct
51200,STRUCTURAL STEEL FRAMING,1.6-A-2,ACTION SUBMITTALS,Product Data,"2. High-strength, bolt-nut-washer assemblies.", Highstre
51200,STRUCTURAL STEEL FRAMING,1.6-A-3,ACTION SUBMITTALS,Product Data,3. Shear stud connectors., Shear 
51200,STRUCTURAL STEEL FRAMING,1.6-A-4,ACTION SUBMITTALS,Product Data,4. Anchor rods., Anchor rods
51200,STRUCTURAL STEEL FRAMING,1.6-A-5,ACTION SUBMITTALS,Product Data,5. Threaded rods., Threaded
51200,STRUCTURAL STEEL FRAMING,1.6-A-6,ACTION SUBMITTALS,Product Data,6. Forged-steel hardware., Hardware forged
51200,STRUCTURAL STEEL FRAMING,1.6-A-7,ACTION SUBMITTALS,Product Data,7. Shop primer., Shop primer here
51200,STRUCTURAL STEEL FRAMING,1.6-A-8,ACTION SUBMITTALS,Product Data,8. Galvanized-steel primer., Galvanized
51200,STRUCTURAL STEEL FRAMING,1.6-A-9,ACTION SUBMITTALS,Product Data,9. Galvanized repair paint., Galvanized
51200,STRUCTURAL STEEL FRAMING,1.6-A-1,ACTION SUBMITTALS,Product Data,10. Shrinkage-resistant grout., Shrinkage
51200,STRUCTURAL STEEL FRAMING,1.6-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include details of cuts, connections, splices, camber, holes, and other pertinent data.", Include details cuts
51200,STRUCTURAL STEEL FRAMING,1.6-B-2,ACTION SUBMITTALS,Shop Drawings,2. Include embedment Drawings., Include embedment
51200,STRUCTURAL STEEL FRAMING,1.6-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Indicate welds by standard AWS symbols, distinguishing between shop and field welds, 
and show size, length, and type of each weld. Show backing bars that are to be removed 
and supplemental fillet welds where backing bars are to remain.", supplemental fill
51200,STRUCTURAL STEEL FRAMING,1.6-B-4,ACTION SUBMITTALS,Shop Drawings,"4. Indicate type, size, and length of bolts, distinguishing between shop and field bolts. 
Identify pretensioned and slip-critical, high-strength bolted connections.", Identify pre
51200,STRUCTURAL STEEL FRAMING,1.6-B-5,ACTION SUBMITTALS,Shop Drawings,5. Identify members not to be shop primed., Identify members
51200,STRUCTURAL STEEL FRAMING,1.6-C,ACTION SUBMITTALS,Delegated-Design Submittal,"Delegated-Design Submittal : For structural-steel connections indicated on Drawings to comply 
with design loads, include analysis data signed and sealed by the qualified professional engineer
responsible for their preparation.", Delegated
51200,STRUCTURAL STEEL FRAMING,1.7-A,INFORMATIONAL SUBMITTALS,Qualification Data,"Qualification Data : For Installer fabricator shop-painting applicators professional engineer 
testing agency.", Qualification Data For
51200,STRUCTURAL STEEL FRAMING,1.7-B,INFORMATIONAL SUBMITTALS,Certificates,Welding certificates., Weld
51200,STRUCTURAL STEEL FRAMING,1.7-C,INFORMATIONAL SUBMITTALS,Certificates,"Paint Compatibility Certificates : From manufacturers of topcoats applied over shop primers, 
certifying that shop primers are compatible with topcoats.", topcoats
51200,STRUCTURAL STEEL FRAMING,1.7-D,INFORMATIONAL SUBMITTALS,Test Reports,"Mill test reports for structural-steel materials, including chemical and physical properties.", Mill test reports
51200,STRUCTURAL STEEL FRAMING,1.7-E-1,INFORMATIONAL SUBMITTALS,Test Reports,"1. Bolts, nuts, and washers, including mechanical properties and chemical analysis.", Bolts
51200,STRUCTURAL STEEL FRAMING,1.7-E-2,INFORMATIONAL SUBMITTALS,Test Reports,2. Direct-tension indicators., Directtension indicators
51200,STRUCTURAL STEEL FRAMING,1.7-E-3,INFORMATIONAL SUBMITTALS,Test Reports,3. Shear stud connectors., Shear 
51200,STRUCTURAL STEEL FRAMING,1.7-E-4,INFORMATIONAL SUBMITTALS,Test Reports,4. .,. 
51200,STRUCTURAL STEEL FRAMING,1.7-F,INFORMATIONAL SUBMITTALS,General,Survey of existing conditions., Survey existing conditions
51200,STRUCTURAL STEEL FRAMING,1.7-G,INFORMATIONAL SUBMITTALS,Reports,Source quality-control reports., Source qualitycontrol
51200,STRUCTURAL STEEL FRAMING,1.7-H,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports., Field qualitycontrol
53100,STEEL DECKING,1.3-A-1,ACTION SUBMITTALS,Product Data,1. Roof deck., Roof deck:
53100,STEEL DECKING,1.3-A-2,ACTION SUBMITTALS,Product Data,2. Composite floor deck., Composite floor deck
53100,STEEL DECKING,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include layout and types of deck panels, anchorage details, reinforcing channels, pans, 
cut deck openings, special jointing, accessories, and attachments to other construction.", Include layout types
53100,STEEL DECKING,1.4-A,INFORMATIONAL SUBMITTALS,Certificates,Welding certificates., Weld
53100,STEEL DECKING,1.4-B,INFORMATIONAL SUBMITTALS,Certificates,Product Certificates : For each type of steel deck., Product Certificates
53100,STEEL DECKING,1.4-C-1,INFORMATIONAL SUBMITTALS,Test Reports,1. Power-actuated mechanical fasteners., Poweractuated
53100,STEEL DECKING,1.4-D,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports., Field qualitycontrol
54000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.3-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site., Preinstallation Conference
54000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-1,ACTION SUBMITTALS,Product Data,1. Cold-formed steel framing materials., Coldformed steel
54000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-2,ACTION SUBMITTALS,Product Data,2. Interior non-load-bearing wall framing., Interior nonload
54000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-3,ACTION SUBMITTALS,Product Data,3. Vertical deflection clips., Vertical def
54000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-4,ACTION SUBMITTALS,Product Data,4. Single deflection track., Single def
54000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-5,ACTION SUBMITTALS,Product Data,5. Drift clips., Drift clips
54000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-6,ACTION SUBMITTALS,Product Data,6. Soffit framing., Soffit
54000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-7,ACTION SUBMITTALS,Product Data,7. Power-actuated anchors., Poweractuated
