,Spec Number,Spec Name,Para,Sub Section Heading,Submittal Type,Submittal Description,Submittal Summary
22,030100,ADVANCED COMPOSITE MATERIALS,1.5-B-1,SUBMITTALS,Drawings,1. Design and working drawings shall be based on performance as per Section 1.6.,Section
23,030100,ADVANCED COMPOSITE MATERIALS,1.5-B-2,SUBMITTALS,Drawings,"2. Stamped and signed structural calculations and drawings bya professional Civil En- 
gineer. Design shall be based on the clearly written performance criteria defined on 
the structural drawings.",bya professional Civil
24,030100,ADVANCED COMPOSITE MATERIALS,1.5-B-3,SUBMITTALS,Drawings,"3. Working shop drawings and calculations prepared and sealed bya professional engi- 
neer detailing the type, locations, dimensions, numbers of layers, and orientation of 
all FRP materials and coatings to be installed. The shop drawings must also indicatea 
total weight per unit length of each size of anchor (if required) to be used in the pro- 
ject.",Working shop drawings
25,030100,ADVANCED COMPOSITE MATERIALS,1.5-C.1-1,SUBMITTALS,General,"1. Manufacturer shall havea minimum of ten (10) years experience confirmed by pro-- 
ject references.",ject references
26,030100,ADVANCED COMPOSITE MATERIALS,1.5-C.2-2,SUBMITTALS,Reports,"2. Providea current ICC Evaluation Service Report, as per Section 1.5.3-",Evaluation Service Report
27,030100,ADVANCED COMPOSITE MATERIALS,1.5-C.3-3,SUBMITTALS,General,"3. If fire protection is required, provide approved UL rated assembly data for any re-- 
quired fire-resistant finish (1, 2, 3 or 4 hour rated assembly per ASTM E119 or Class 
A Building, Flame Spread & Smoke Development per ASTM E84) as proposed with 
the FRP system.",Flame Spread
28,030100,ADVANCED COMPOSITE MATERIALS,1.5-C.4-4,SUBMITTALS,General,"4. Properties of the composite materials as determined by independent laboratory test-- 
ing in accordance with ASTM D7565 and/or ASTM D3039 (tensile modulus, stress 
and strain) for the proposed fiber composite system. A minimum of 20 tests for each 
must be submitted.",ASTM
29,030100,ADVANCED COMPOSITE MATERIALS,1.5-C.5-5,SUBMITTALS,Maintenance Data,"5. Installation procedures, maintenance instructions, and general recommendations re-- 
garding each material to be used.",Installation procedures
30,030100,ADVANCED COMPOSITE MATERIALS,1.5-C.6-6,SUBMITTALS,General,6. Manufacturers Material Safety Data Sheets (MSDS) for all materials to be used.-,Safety Data Sheets
31,030100,ADVANCED COMPOSITE MATERIALS,1.5-C.7-7,SUBMITTALS,Product Data,"7. Manufacturers product data sheet indicating physical, mechanical and chemical- 
characteristics of all materials used in the FRP system.",FRP system
32,030100,ADVANCED COMPOSITE MATERIALS,1.5-C.8-8,SUBMITTALS,Certifications,"8. Certification by the manufacturer that supplied products complies with local regula-- 
tions controlling use of volatile organic compounds (VOCs).",VOCs
33,030100,ADVANCED COMPOSITE MATERIALS,1.6-A,PERFORMANCE,Delegated-Design Submittal,"Design the composite system to achieve the structural performance shown on the structural
drawings. Design calculations for the composite system shall be submitted for approval by
the engineer of record and shall be stamped bya registered Civil or Structural Engineer.
The composite anchors must meet the minimum total weight per unit length for each size of
anchor as per submitted design.",structural performance shown
34,032000,CONCRETE REINFORCING,1.3-A-1,ACTION SUBMITTALS,Product Data,1. Each type of steel reinforcement.,steel reinforcement
35,032000,CONCRETE REINFORCING,1.3-A-2,ACTION SUBMITTALS,Product Data,2. Bar supports.,Bar supports
36,032000,CONCRETE REINFORCING,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include placing drawings that detail fabrication, bending, and placement.",bending
37,032000,CONCRETE REINFORCING,1.3-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Include bar sizes, lengths, materials, grades, bar schedules, stirrup spacing, bent bar 
diagrams, bar arrangement, location of splices, lengths of lap splices, details of 
mechanical splice couplers, details of welding splices, tie spacing, hoop spacing, and 
supports for concrete reinforcement.",Include bar sizes
38,032000,CONCRETE REINFORCING,1.3-B-3,ACTION SUBMITTALS,Shop Drawings,"3. For structural thermal break insulated connection system, indicate general configuration, 
insulation dimensions, tension bars, compression pads, shear bars, and dimensions.",compression pads
39,032000,CONCRETE REINFORCING,1.3-C-1,ACTION SUBMITTALS,Construction Joint Layout,1. Location of construction joints is subject to approval of the Architect.,Location of construction
40,032000,CONCRETE REINFORCING,1.4-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Statements : For testing and inspection agency.,Qualification Statements
41,032000,CONCRETE REINFORCING,1.4-B-1,INFORMATIONAL SUBMITTALS,Certificates,"1. Epoxy-Coated Reinforcement: CRSI's ""Epoxy Coating Plant Certification."" 
",Epoxy Coating Plant
42,032000,CONCRETE REINFORCING,1.4-B-2,INFORMATIONAL SUBMITTALS,Certificates,"2. Dual-Coated Reinforcement: CRSI's ""Epoxy Coating Plant Certification.""",Epoxy Coating Plant
43,033000,CAST-IN-PLACE CONCRETE,1.4-A-1,PREINSTALLATION MEETINGS,Meetings,"1. Require representatives of each entity directly concerned with cast-in-place concrete to 
attend, including the following: 
a. Contractor's superintendent. 
b. Concrete Subcontractor.",Concrete Subcontractor
44,033000,CAST-IN-PLACE CONCRETE,1.4-A-2,PREINSTALLATION MEETINGS,Meetings,"2. Review the following: 
a. Special inspection and testing and inspecting agency procedures for field quality 
control. 
b. Construction joints, control joints, isolation joints, and joint-filler strips. 
c. Semirigid joint fillers. 
 
d. Vapor-retarder installation. 
e. Anchor rod and anchorage device installation tolerances. 
f. Cold and hot weather concreting procedures. 
g. Concrete finishes and finishing. 
h. Curing procedures. 
i. Forms and form-removal limitations. 
j. Shoring and reshoring procedures. 
k. Methods for achieving specified floor and slab flatness and levelness. 
l. Floor and slab flatness and levelness measurements. 
m. Concrete repair procedures. 
n. Concrete protection. 
o. Initial curing and field curing of field test cylinders (ASTM C31/C31M.) 
p. Protection of field cured field test cylinders.",field test cylinders
45,033000,CAST-IN-PLACE CONCRETE,1.5-A-1,ACTION SUBMITTALS,Product Data,1. Portland cement.,Portland cement
46,033000,CAST-IN-PLACE CONCRETE,1.5-A-2,ACTION SUBMITTALS,Product Data,2. Fly ash.,Fly ash
47,033000,CAST-IN-PLACE CONCRETE,1.5-A-3,ACTION SUBMITTALS,Product Data,3. Slag cement.,Slag cement
48,033000,CAST-IN-PLACE CONCRETE,1.5-A-4,ACTION SUBMITTALS,Product Data,4. Blended hydraulic cement.,Blended hydraulic cement
49,033000,CAST-IN-PLACE CONCRETE,1.5-A-5,ACTION SUBMITTALS,Product Data,5. Silica fume.,Silica fume
50,033000,CAST-IN-PLACE CONCRETE,1.5-A-6,ACTION SUBMITTALS,Product Data,6. Performance-based hydraulic cement,Performance-based hydraulic cement
51,033000,CAST-IN-PLACE CONCRETE,1.5-A-7,ACTION SUBMITTALS,Product Data,7. Aggregates.,Aggregates
52,033000,CAST-IN-PLACE CONCRETE,1.5-A-8,ACTION SUBMITTALS,Product Data,"8. Admixtures: 
a. Include limitations of use, including restrictions on cementitious materials, 
supplementary cementitious materials, air entrainment, aggregates, temperature at 
time of concrete placement, relative humidity at time of concrete placement, curing 
conditions, and use of other admixtures.",concrete placement
53,033000,CAST-IN-PLACE CONCRETE,1.5-A-9,ACTION SUBMITTALS,Product Data,9. Vapor retarders.,Vapor retarders
54,033000,CAST-IN-PLACE CONCRETE,1.5-A-1,ACTION SUBMITTALS,Product Data,10. Curing materials.,Curing materials
55,033000,CAST-IN-PLACE CONCRETE,1.5-A-1,ACTION SUBMITTALS,Product Data,11. Joint fillers.,Joint fillers
56,033000,CAST-IN-PLACE CONCRETE,1.5-A-1,ACTION SUBMITTALS,Product Data,12. Repair materials.,Repair materials
57,033000,CAST-IN-PLACE CONCRETE,1.5-B-1,ACTION SUBMITTALS,Mix Design,1. Mixture identification.,Mixture identification
58,033000,CAST-IN-PLACE CONCRETE,1.5-B-2,ACTION SUBMITTALS,Mix Design,2. Minimum 28-day compressive strength.,Minimum
59,033000,CAST-IN-PLACE CONCRETE,1.5-B-3,ACTION SUBMITTALS,Mix Design,3. Durability exposure class.,Durability exposure class
60,033000,CAST-IN-PLACE CONCRETE,1.5-B-4,ACTION SUBMITTALS,Mix Design,4. Maximum w/cm.,Maximum
61,033000,CAST-IN-PLACE CONCRETE,1.5-B-5,ACTION SUBMITTALS,Mix Design,"5. Calculated equilibrium unit weight, for lightweight concrete.",Calculated equilibrium
62,033000,CAST-IN-PLACE CONCRETE,1.5-B-6,ACTION SUBMITTALS,Mix Design,6. Slump limit.,Slump limit
63,033000,CAST-IN-PLACE CONCRETE,1.5-B-7,ACTION SUBMITTALS,Mix Design,7. Air content.,Air content
64,033000,CAST-IN-PLACE CONCRETE,1.5-B-8,ACTION SUBMITTALS,Mix Design,8. Nominal maximum aggregate size.,Nominal maximum
65,033000,CAST-IN-PLACE CONCRETE,1.5-B-9,ACTION SUBMITTALS,Mix Design,9. Intended placement method.,Intended placement method
66,033000,CAST-IN-PLACE CONCRETE,1.5-B-1,ACTION SUBMITTALS,Mix Design,"10. Submit alternate design mixtures when characteristics of materials, Project conditions, 
weather, test results, or other circumstances warrant adjustments.",Project conditions
67,033000,CAST-IN-PLACE CONCRETE,1.5-C-1,ACTION SUBMITTALS,Shop Drawings,"1. Construction Joint Layout: Indicate proposed construction joints required to construct the 
structure. 
a. Location of construction joints is subject to approval of the Architect.",Construction Joint Layout
68,033000,CAST-IN-PLACE CONCRETE,1.6-A-1,INFORMATIONAL SUBMITTALS,Qualification Data,1. Installer: Include copies of applicable ACI certificates.,Installer
69,033000,CAST-IN-PLACE CONCRETE,1.6-A-2,INFORMATIONAL SUBMITTALS,Qualification Data,2. Ready-mixed concrete manufacturer.,Ready-mixed concrete manufacturer
70,033000,CAST-IN-PLACE CONCRETE,1.6-A-3,INFORMATIONAL SUBMITTALS,Qualification Data,3. Testing agency: Include copies of applicable ACI certificates.,Include copies
71,033000,CAST-IN-PLACE CONCRETE,1.6-B-1,INFORMATIONAL SUBMITTALS,Certificates,1. Cementitious materials.,Cementitious materials
72,033000,CAST-IN-PLACE CONCRETE,1.6-B-2,INFORMATIONAL SUBMITTALS,Certificates,2. Admixtures.,Admixtures
73,033000,CAST-IN-PLACE CONCRETE,1.6-B-3,INFORMATIONAL SUBMITTALS,Certificates,3. Curing compounds.,Curing compounds
74,033000,CAST-IN-PLACE CONCRETE,1.6-B-4,INFORMATIONAL SUBMITTALS,Certificates,4. Bonding agents.,Bonding agents
75,033000,CAST-IN-PLACE CONCRETE,1.6-B-5,INFORMATIONAL SUBMITTALS,Certificates,5. Adhesives.,Adhesives
76,033000,CAST-IN-PLACE CONCRETE,1.6-B-6,INFORMATIONAL SUBMITTALS,Certificates,6. Vapor retarders.,Vapor retarders
77,033000,CAST-IN-PLACE CONCRETE,1.6-B-7,INFORMATIONAL SUBMITTALS,Certificates,7. Semirigid joint filler.,Semirigid joint filler
78,033000,CAST-IN-PLACE CONCRETE,1.6-B-8,INFORMATIONAL SUBMITTALS,Certificates,8. Joint-filler strips.,Joint-filler strips
79,033000,CAST-IN-PLACE CONCRETE,1.6-B-9,INFORMATIONAL SUBMITTALS,Certificates,9. Repair materials.,Repair materials
80,033000,CAST-IN-PLACE CONCRETE,1.6-C-1,INFORMATIONAL SUBMITTALS,Test Reports,1. Portland cement.,Portland cement
81,033000,CAST-IN-PLACE CONCRETE,1.6-C-2,INFORMATIONAL SUBMITTALS,Test Reports,2. Fly ash.,Fly ash
82,033000,CAST-IN-PLACE CONCRETE,1.6-C-3,INFORMATIONAL SUBMITTALS,Test Reports,3. Slag cement.,Slag cement
83,033000,CAST-IN-PLACE CONCRETE,1.6-C-4,INFORMATIONAL SUBMITTALS,Test Reports,4. Blended hydraulic cement.,Blended hydraulic cement
84,033000,CAST-IN-PLACE CONCRETE,1.6-C-5,INFORMATIONAL SUBMITTALS,Test Reports,5. Silica fume.,Silica fume
85,033000,CAST-IN-PLACE CONCRETE,1.6-C-6,INFORMATIONAL SUBMITTALS,Test Reports,6. Performance-based hydraulic cement.,Performance-based hydraulic cement
86,033000,CAST-IN-PLACE CONCRETE,1.6-C-7,INFORMATIONAL SUBMITTALS,Test Reports,7. Aggregates.,Aggregates
87,033000,CAST-IN-PLACE CONCRETE,1.6-C-8,INFORMATIONAL SUBMITTALS,Test Reports,"8. Admixtures: 
a. Permeability-Reducing Admixture: Include independent test reports, indicating 
compliance with specified requirements, including dosage rate used in test.",Permeability-Reducing Admixture
88,033000,CAST-IN-PLACE CONCRETE,1.6-D,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports.,Field quality-control reports
89,033000,CAST-IN-PLACE CONCRETE,1.6-E,INFORMATIONAL SUBMITTALS,Meeting Minutes,Minutes of preinstallation conference.,Minutes of preinstallation
90,033543,POLISHED CONCRETE FINISHING,1.4-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product.,Product Data
91,033543,POLISHED CONCRETE FINISHING,1.4-B,ACTION SUBMITTALS,Schedules,"Polishing Schedule : Submit plan showing polished concrete surfaces and schedule of polishing 
operations for each area of polished concrete before start of polishing operations. Include
locations of all joints, including construction joints.",Submit plan showing
92,033543,POLISHED CONCRETE FINISHING,1.4-C,ACTION SUBMITTALS,Samples,Samples for Initial Selection : For each type of product requiring color selection.,requiring color selection
93,033543,POLISHED CONCRETE FINISHING,1.5-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer.,Qualification Data
94,033543,POLISHED CONCRETE FINISHING,1.5-B-1,INFORMATIONAL SUBMITTALS,Certificates,1. Repair materials.,Repair materials
95,033543,POLISHED CONCRETE FINISHING,1.5-B-2,INFORMATIONAL SUBMITTALS,Certificates,2. Stain materials.,Stain materials
96,033543,POLISHED CONCRETE FINISHING,1.5-B-3,INFORMATIONAL SUBMITTALS,Certificates,3. Liquid floor treatments.,Liquid floor treatments
97,033543,POLISHED CONCRETE FINISHING,1.6-A-1,QUALITY ASSURANCE,Mockups,"1. Build mockups in the location and of the size indicated or, if not indicated, as directed by 
Architect.",directed by Architect
98,033543,POLISHED CONCRETE FINISHING,1.6-A-2,QUALITY ASSURANCE,Mockups,"2. Demonstrate curing, finishing, and protecting of polished concrete.",finishing
99,033543,POLISHED CONCRETE FINISHING,1.6-A-3,QUALITY ASSURANCE,Mockups,"3. Subject to compliance with requirements, approved mockups may become part of the 
completed Work if undisturbed at time of Substantial Completion.",Substantial Completion
100,042200,CONCRETE UNIT MASONRY,1.4-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site.,Project site
101,042200,CONCRETE UNIT MASONRY,1.5-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product.,Product Data
102,042200,CONCRETE UNIT MASONRY,1.5-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Masonry Units: Show sizes, profiles, coursing, and locations of special shapes.",Masonry Units
103,042200,CONCRETE UNIT MASONRY,1.5-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Reinforcing Steel: Detail bending, lap lengths, and placement of unit masonry reinforcing 
bars. Comply with ACI 315. Show elevations of reinforced walls.",Detail bending
104,042200,CONCRETE UNIT MASONRY,1.5-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Fabricated Flashing: Detail corner units, end-dam units, and other special applications.",Detail corner units
105,042200,CONCRETE UNIT MASONRY,1.6-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For testing agency.,Qualification Data
106,042200,CONCRETE UNIT MASONRY,1.6-B-1,INFORMATIONAL SUBMITTALS,Certificates,"1. Masonry units. 
a. Include data on material properties. 
b. For masonry units, include data and calculations establishing average net-area 
compressive strength of units.",Include data
107,042200,CONCRETE UNIT MASONRY,1.6-B-2,INFORMATIONAL SUBMITTALS,Certificates,2. Integral water repellant used in CMUs.,Integral water
108,042200,CONCRETE UNIT MASONRY,1.6-B-3,INFORMATIONAL SUBMITTALS,Certificates,"3. Preblended, dry mortar mixes. Include description of type and proportions of ingredients.",dry mortar mixes
109,042200,CONCRETE UNIT MASONRY,1.6-B-4,INFORMATIONAL SUBMITTALS,Certificates,4. Grout mixes. Include description of type and proportions of ingredients.,Grout mixes
110,042200,CONCRETE UNIT MASONRY,1.6-B-5,INFORMATIONAL SUBMITTALS,Certificates,5. Reinforcing bars.,Reinforcing bars
111,042200,CONCRETE UNIT MASONRY,1.6-B-6,INFORMATIONAL SUBMITTALS,Certificates,6. Joint reinforcement.,Joint reinforcement
112,042200,CONCRETE UNIT MASONRY,1.6-B-7,INFORMATIONAL SUBMITTALS,Certificates,"7. Anchors, ties, and metal accessories.",Anchors
113,042200,CONCRETE UNIT MASONRY,1.6-C-1,INFORMATIONAL SUBMITTALS,Mix Design,"1. Include test reports for mortar mixes required to comply with property specification. Test 
according to ASTM C109/C109M for compressive strength, ASTM C1506 for water 
retention, and ASTM C91/C91M for air content.",ASTM
114,042200,CONCRETE UNIT MASONRY,1.6-C-2,INFORMATIONAL SUBMITTALS,Mix Design,"2. Include test reports, according to ASTM C1019, for grout mixes required to comply with 
compressive strength requirement.",Include test reports
115,042200,CONCRETE UNIT MASONRY,1.6-E,INFORMATIONAL SUBMITTALS,Cold-Weather And Hot-Weather Procedures,"Cold-Weather and Hot-Weather Procedures : Detailed description of methods, materials, and 
equipment to be used to comply with requirements.",Hot-Weather Procedures
116,051200,STRUCTURAL STEEL FRAMING,1.5-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site.,Project site
117,051200,STRUCTURAL STEEL FRAMING,1.6-A-1,ACTION SUBMITTALS,Product Data,1. Structural-steel materials.,Structural-steel materials
118,051200,STRUCTURAL STEEL FRAMING,1.6-A-2,ACTION SUBMITTALS,Product Data,"2. High-strength, bolt-nut-washer assemblies.",High-strength
119,051200,STRUCTURAL STEEL FRAMING,1.6-A-3,ACTION SUBMITTALS,Product Data,3. Shear stud connectors.,Shear stud connectors
120,051200,STRUCTURAL STEEL FRAMING,1.6-A-4,ACTION SUBMITTALS,Product Data,4. Anchor rods.,Anchor rods
121,051200,STRUCTURAL STEEL FRAMING,1.6-A-5,ACTION SUBMITTALS,Product Data,5. Threaded rods.,Threaded rods
122,051200,STRUCTURAL STEEL FRAMING,1.6-A-6,ACTION SUBMITTALS,Product Data,6. Forged-steel hardware.,Forged-steel hardware
123,051200,STRUCTURAL STEEL FRAMING,1.6-A-7,ACTION SUBMITTALS,Product Data,7. Shop primer.,Shop primer
124,051200,STRUCTURAL STEEL FRAMING,1.6-A-8,ACTION SUBMITTALS,Product Data,8. Galvanized-steel primer.,Galvanized-steel primer
125,051200,STRUCTURAL STEEL FRAMING,1.6-A-9,ACTION SUBMITTALS,Product Data,9. Galvanized repair paint.,Galvanized repair paint
126,051200,STRUCTURAL STEEL FRAMING,1.6-A-1,ACTION SUBMITTALS,Product Data,10. Shrinkage-resistant grout.,Shrinkage-resistant grout
127,051200,STRUCTURAL STEEL FRAMING,1.6-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include details of cuts, connections, splices, camber, holes, and other pertinent data.",connections
128,051200,STRUCTURAL STEEL FRAMING,1.6-B-2,ACTION SUBMITTALS,Shop Drawings,2. Include embedment Drawings.,Include embedment Drawings
129,051200,STRUCTURAL STEEL FRAMING,1.6-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Indicate welds by standard AWS symbols, distinguishing between shop and field welds, 
and show size, length, and type of each weld. Show backing bars that are to be removed 
and supplemental fillet welds where backing bars are to remain.",standard AWS symbols
130,051200,STRUCTURAL STEEL FRAMING,1.6-B-4,ACTION SUBMITTALS,Shop Drawings,"4. Indicate type, size, and length of bolts, distinguishing between shop and field bolts. 
Identify pretensioned and slip-critical, high-strength bolted connections.",bolts
131,051200,STRUCTURAL STEEL FRAMING,1.6-B-5,ACTION SUBMITTALS,Shop Drawings,5. Identify members not to be shop primed.,Identify members
132,051200,STRUCTURAL STEEL FRAMING,1.6-C,ACTION SUBMITTALS,Delegated-Design Submittal,"Delegated-Design Submittal : For structural-steel connections indicated on Drawings to comply 
with design loads, include analysis data signed and sealed by the qualified professional engineer
responsible for their preparation.",include analysis data
133,051200,STRUCTURAL STEEL FRAMING,1.7-A,INFORMATIONAL SUBMITTALS,Qualification Data,"Qualification Data : For Installer fabricator shop-painting applicators professional engineer 
testing agency.",Qualification Data
134,051200,STRUCTURAL STEEL FRAMING,1.7-B,INFORMATIONAL SUBMITTALS,Certificates,Welding certificates.,Welding certificates
135,051200,STRUCTURAL STEEL FRAMING,1.7-C,INFORMATIONAL SUBMITTALS,Certificates,"Paint Compatibility Certificates : From manufacturers of topcoats applied over shop primers, 
certifying that shop primers are compatible with topcoats.",Paint Compatibility Certificates
136,051200,STRUCTURAL STEEL FRAMING,1.7-D,INFORMATIONAL SUBMITTALS,Test Reports,"Mill test reports for structural-steel materials, including chemical and physical properties.",Mill test reports
137,051200,STRUCTURAL STEEL FRAMING,1.7-E-1,INFORMATIONAL SUBMITTALS,Test Reports,"1. Bolts, nuts, and washers, including mechanical properties and chemical analysis.",including mechanical properties
138,051200,STRUCTURAL STEEL FRAMING,1.7-E-2,INFORMATIONAL SUBMITTALS,Test Reports,2. Direct-tension indicators.,Direct-tension indicators
139,051200,STRUCTURAL STEEL FRAMING,1.7-E-3,INFORMATIONAL SUBMITTALS,Test Reports,3. Shear stud connectors.,Shear stud connectors
140,051200,STRUCTURAL STEEL FRAMING,1.7-E-4,INFORMATIONAL SUBMITTALS,Test Reports,4. .,
141,051200,STRUCTURAL STEEL FRAMING,1.7-F,INFORMATIONAL SUBMITTALS,General,Survey of existing conditions.,Survey of existing
142,051200,STRUCTURAL STEEL FRAMING,1.7-G,INFORMATIONAL SUBMITTALS,Reports,Source quality-control reports.,Source quality-control reports
143,051200,STRUCTURAL STEEL FRAMING,1.7-H,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports.,Field quality-control reports
144,053100,STEEL DECKING,1.3-A-1,ACTION SUBMITTALS,Product Data,1. Roof deck.,Roof deck
145,053100,STEEL DECKING,1.3-A-2,ACTION SUBMITTALS,Product Data,2. Composite floor deck.,Composite floor deck
146,053100,STEEL DECKING,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include layout and types of deck panels, anchorage details, reinforcing channels, pans, 
cut deck openings, special jointing, accessories, and attachments to other construction.",cut deck openings
147,053100,STEEL DECKING,1.4-A,INFORMATIONAL SUBMITTALS,Certificates,Welding certificates.,Welding certificates
148,053100,STEEL DECKING,1.4-B,INFORMATIONAL SUBMITTALS,Certificates,Product Certificates : For each type of steel deck.,Product Certificates
149,053100,STEEL DECKING,1.4-C-1,INFORMATIONAL SUBMITTALS,Test Reports,1. Power-actuated mechanical fasteners.,Power-actuated mechanical fasteners
150,053100,STEEL DECKING,1.4-D,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports.,Field quality-control reports
151,054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.3-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site.,Project site
152,054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-1,ACTION SUBMITTALS,Product Data,1. Cold-formed steel framing materials.,Cold-formed steel
