Spec Number,Spec Name,Para,Sub Section Heading,Submittal Type,Submittal Description
042200,CONCRETE UNIT MASONRY,1.6-E,INFORMATIONAL SUBMITTALS,Cold-Weather And Hot-Weather Procedures,"Cold-Weather and Hot-Weather Procedures : Detailed description of methods, materials, and 
equipment to be used to comply with requirements."
051200,STRUCTURAL STEEL FRAMING,1.5-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site.
051200,STRUCTURAL STEEL FRAMING,1.6-A-1,ACTION SUBMITTALS,Product Data,1. Structural-steel materials.
051200,STRUCTURAL STEEL FRAMING,1.6-A-2,ACTION SUBMITTALS,Product Data,"2. High-strength, bolt-nut-washer assemblies."
051200,STRUCTURAL STEEL FRAMING,1.6-A-3,ACTION SUBMITTALS,Product Data,3. Shear stud connectors.
051200,STRUCTURAL STEEL FRAMING,1.6-A-4,ACTION SUBMITTALS,Product Data,4. Anchor rods.
051200,STRUCTURAL STEEL FRAMING,1.6-A-5,ACTION SUBMITTALS,Product Data,5. Threaded rods.
051200,STRUCTURAL STEEL FRAMING,1.6-A-6,ACTION SUBMITTALS,Product Data,6. Forged-steel hardware.
051200,STRUCTURAL STEEL FRAMING,1.6-A-7,ACTION SUBMITTALS,Product Data,7. Shop primer.
051200,STRUCTURAL STEEL FRAMING,1.6-A-8,ACTION SUBMITTALS,Product Data,8. Galvanized-steel primer.
051200,STRUCTURAL STEEL FRAMING,1.6-A-9,ACTION SUBMITTALS,Product Data,9. Galvanized repair paint.
051200,STRUCTURAL STEEL FRAMING,1.6-A-1,ACTION SUBMITTALS,Product Data,10. Shrinkage-resistant grout.
051200,STRUCTURAL STEEL FRAMING,1.6-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include details of cuts, connections, splices, camber, holes, and other pertinent data."
051200,STRUCTURAL STEEL FRAMING,1.6-B-2,ACTION SUBMITTALS,Shop Drawings,2. Include embedment Drawings.
051200,STRUCTURAL STEEL FRAMING,1.6-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Indicate welds by standard AWS symbols, distinguishing between shop and field welds, 
and show size, length, and type of each weld. Show backing bars that are to be removed 
and supplemental fillet welds where backing bars are to remain."
051200,STRUCTURAL STEEL FRAMING,1.6-B-4,ACTION SUBMITTALS,Shop Drawings,"4. Indicate type, size, and length of bolts, distinguishing between shop and field bolts. 
Identify pretensioned and slip-critical, high-strength bolted connections."
051200,STRUCTURAL STEEL FRAMING,1.6-B-5,ACTION SUBMITTALS,Shop Drawings,5. Identify members not to be shop primed.
051200,STRUCTURAL STEEL FRAMING,1.6-C,ACTION SUBMITTALS,Delegated-Design Submittal,"Delegated-Design Submittal : For structural-steel connections indicated on Drawings to comply 
with design loads, include analysis data signed and sealed by the qualified professional engineer
responsible for their preparation."
051200,STRUCTURAL STEEL FRAMING,1.7-A,INFORMATIONAL SUBMITTALS,Qualification Data,"Qualification Data : For Installer fabricator shop-painting applicators professional engineer 
testing agency."
051200,STRUCTURAL STEEL FRAMING,1.7-B,INFORMATIONAL SUBMITTALS,Certificates,Welding certificates.
051200,STRUCTURAL STEEL FRAMING,1.7-C,INFORMATIONAL SUBMITTALS,Certificates,"Paint Compatibility Certificates : From manufacturers of topcoats applied over shop primers, 
certifying that shop primers are compatible with topcoats."
051200,STRUCTURAL STEEL FRAMING,1.7-D,INFORMATIONAL SUBMITTALS,Test Reports,"Mill test reports for structural-steel materials, including chemical and physical properties."
051200,STRUCTURAL STEEL FRAMING,1.7-E-1,INFORMATIONAL SUBMITTALS,Test Reports,"1. Bolts, nuts, and washers, including mechanical properties and chemical analysis."
051200,STRUCTURAL STEEL FRAMING,1.7-E-2,INFORMATIONAL SUBMITTALS,Test Reports,2. Direct-tension indicators.
051200,STRUCTURAL STEEL FRAMING,1.7-E-3,INFORMATIONAL SUBMITTALS,Test Reports,3. Shear stud connectors.
051200,STRUCTURAL STEEL FRAMING,1.7-E-4,INFORMATIONAL SUBMITTALS,Test Reports,4. .
051200,STRUCTURAL STEEL FRAMING,1.7-F,INFORMATIONAL SUBMITTALS,General,Survey of existing conditions.
051200,STRUCTURAL STEEL FRAMING,1.7-G,INFORMATIONAL SUBMITTALS,Reports,Source quality-control reports.
051200,STRUCTURAL STEEL FRAMING,1.7-H,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports.
053100,STEEL DECKING,1.3-A-1,ACTION SUBMITTALS,Product Data,1. Roof deck.
053100,STEEL DECKING,1.3-A-2,ACTION SUBMITTALS,Product Data,2. Composite floor deck.
053100,STEEL DECKING,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include layout and types of deck panels, anchorage details, reinforcing channels, pans, 
cut deck openings, special jointing, accessories, and attachments to other construction."
053100,STEEL DECKING,1.4-A,INFORMATIONAL SUBMITTALS,Certificates,Welding certificates.
053100,STEEL DECKING,1.4-B,INFORMATIONAL SUBMITTALS,Certificates,Product Certificates : For each type of steel deck.
053100,STEEL DECKING,1.4-C-1,INFORMATIONAL SUBMITTALS,Test Reports,1. Power-actuated mechanical fasteners.
053100,STEEL DECKING,1.4-D,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.3-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-1,ACTION SUBMITTALS,Product Data,1. Cold-formed steel framing materials.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-2,ACTION SUBMITTALS,Product Data,2. Interior non-load-bearing wall framing.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-3,ACTION SUBMITTALS,Product Data,3. Vertical deflection clips.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-4,ACTION SUBMITTALS,Product Data,4. Single deflection track.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-5,ACTION SUBMITTALS,Product Data,5. Drift clips.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-6,ACTION SUBMITTALS,Product Data,6. Soffit framing.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-A-7,ACTION SUBMITTALS,Product Data,7. Power-actuated anchors.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include layout, spacings, sizes, thicknesses, and types of cold-formed steel framing; 
fabrication; and fastening and anchorage details, including mechanical fasteners."
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Indicate reinforcing channels, opening framing, supplemental framing, strapping, bracing, 
bridging, splices, accessories, connection details, and attachment to adjoining work."
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.4-C,ACTION SUBMITTALS,Delegated-Design Submittal,Delegated-Design Submittal : For cold-formed steel framing.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.5-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For testing agency.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.5-B,INFORMATIONAL SUBMITTALS,Certificates,Welding certificates.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.5-C,INFORMATIONAL SUBMITTALS,Certificates,Product Certificates : For each type of code-compliance certification for studs and tracks.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.5-D-1,INFORMATIONAL SUBMITTALS,Test Reports,1. Power-actuated anchors.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.5-D-2,INFORMATIONAL SUBMITTALS,Test Reports,2. Mechanical fasteners.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.5-D-3,INFORMATIONAL SUBMITTALS,Test Reports,3. Vertical deflection clips.
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.5-D-4,INFORMATIONAL SUBMITTALS,Test Reports,4. Horizontal drift deflection clips
054000,COLD-FORMED METAL FRAMING TO NONSTRUCTURAL FRAMI,1.5-D-5,INFORMATIONAL SUBMITTALS,Test Reports,5. Miscellaneous structural clips and accessories.
